,country,region,protesterviolence,demand_labor-wage-dispute,demand_land-farm-issue,demand_police-brutality,demand_political-behavior/process,demand_price-increases/tax-policy,demand_removal-of-politician,demand_social-restrictions,participants_log,duration_days_log,protestnumber_log,system,yrsoffc,finittrm,yrcurnt,termlimit,reelect,multpl,military,defmin,execnat,execrel,totalseats,oppmajh,legelec,exelec,liec,eiec,gq,gqi,auton,numvote,oppvote,maj,herfgov,frac,govfrac,tensys_strict,checks,stabs_strict,tenlong_strict,tenshort_strict,xconst,target
4712,Germany,Europe,0,0,0,0,1,0,0,0,6.907755278982137,0.0,3.1354942159291497,Parliamentary,11.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,Germany,631.0,0.0,0.0,0.0,7.0,7.0,3.0,0.0,0.0,0.6727000427246094,0.17040000915527342,0.7987321615219116,0.527407705783844,0.6442935466766357,0.4735318124294281,68.0,6.0,0.0,11.0,3.0,7,0
10311,Namibia,Africa,0,0,1,0,1,0,0,0,3.912023005428146,0.0,1.791759469228055,Presidential,2.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,Namibia,96.0,0.0,0.0,0.0,6.0,6.0,2.0,0.0,0.0,0.8001000213623047,0.18319999694824218,0.8020833134651184,1.0,0.354769766330719,0.0,26.0,1.0,0.0,26.0,2.0,5,0
2031,Brazil,South America,0,0,0,0,1,0,0,0,4.30406509320417,0.0,2.0794415416798357,Presidential,6.0,1.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,Brazil,513.0,0.0,0.0,0.0,7.0,7.0,2.0,1.0,0.0,0.0,0.0,0.5925925970077515,0.1459181010723114,0.9295457601547241,0.8569006323814392,31.0,5.0,0.0,14.0,6.0,6,0
12506,China,Asia,1,1,0,0,0,0,0,0,6.907755278982137,0.0,2.302585092994046,Assembly-Elected President,3.0,1.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,China,2987.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,3.0,3.0,3,0
8610,Nigeria,Africa,0,1,0,0,0,0,0,0,6.214608098422191,0.0,3.4657359027997265,Presidential,1.0,1.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,Nigeria,360.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.5760869383811951,1.0,0.5244935750961304,0.0,17.0,4.0,0.5,1.0,1.0,6,0
3606,Ireland,Europe,1,0,1,0,1,0,0,0,5.0106352940962555,0.0,2.1972245773362196,Parliamentary,5.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,Ireland,166.0,0.0,1.0,0.0,7.0,7.0,2.0,1.0,0.0,0.5554999923706054,0.29550001144409177,0.6807228922843933,0.5595583319664001,0.722599446773529,0.4443742036819458,86.0,6.0,0.0,5.0,5.0,7,0
10312,Namibia,Africa,1,0,0,0,1,0,0,0,3.912023005428146,0.0,1.9459101490553132,Presidential,2.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,Namibia,96.0,0.0,0.0,0.0,6.0,6.0,2.0,0.0,0.0,0.8001000213623047,0.18319999694824218,0.8020833134651184,1.0,0.354769766330719,0.0,26.0,1.0,0.0,26.0,2.0,5,0
7819,Mauritania,Africa,0,0,0,0,1,0,0,0,6.907755278982137,0.0,0.6931471805599453,Presidential,7.0,1.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,Mauritania,147.0,0.0,0.0,0.0,7.0,6.0,1.0,1.0,0.0,0.0,0.0,0.5102040767669678,1.0,0.7222639918327332,0.0,7.0,1.0,0.0,7.0,3.0,2,0
4923,Poland,Europe,0,0,0,0,1,0,0,0,6.907755278982137,0.0,1.0986122886681098,Presidential,1.0,1.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,Poland,460.0,0.0,0.0,0.0,7.0,7.0,2.0,1.0,0.0,0.3758000183105469,0.45810001373291015,0.504291832447052,1.0,0.6444898247718811,0.0,26.0,2.0,1.0,1.0,1.0,7,0
112,Cuba,North America,0,0,0,0,1,0,1,0,4.30406509320417,0.0,2.9444389791664403,Assembly-Elected President,10.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,Cuba,621.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,10.0,1.0,0.0,10.0,10.0,3,0
